date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-05-29,3.29,3.3,3.29,3.27,156915.2,-0.01,-0.3,3.346,3.378,3.431,167866.34,217498.07,372047.07
2020-05-28,3.34,3.35,3.3,3.28,204557.64,-0.02,-0.6,3.356,3.392,3.427,185761.87,242014.58,375828.67
2020-05-27,3.38,3.42,3.42,3.35,186531.98,0.04,1.18,3.378,3.411,3.425,189870.87,293343.29,371712.19
2020-05-26,3.34,3.39,3.38,3.34,154991.12,0.04,1.2,3.38,3.435,3.419,197537.13,400424.22,367560.52
2020-05-25,3.33,3.37,3.34,3.31,136335.77,0.0,0.0,3.392,3.467,3.417,214201.44,440619.72,364291.66
2020-05-22,3.4,3.42,3.34,3.32,246392.84,-0.07,-2.05,3.41,3.499,3.416,267129.79,510963.56,361992.68
2020-05-21,3.44,3.47,3.41,3.4,225102.64,-0.02,-0.58,3.428,3.535,3.417,298267.28,572277.72,354560.38
2020-05-20,3.47,3.47,3.43,3.41,224863.28,-0.01,-0.29,3.444,3.53,3.416,396815.72,568841.05,349348.25
2020-05-19,3.46,3.48,3.44,3.43,238312.66,0.01,0.29,3.49,3.522,3.412,603311.31,571504.95,344251.39
2020-05-18,3.46,3.52,3.43,3.41,400977.53,0.0,0.0,3.542,3.506,3.409,667037.99,558543.61,342468.6
2020-05-15,3.5,3.51,3.43,3.42,402080.31,-0.06,-1.72,3.588,3.484,3.405,754797.32,526596.08,328238.75
2020-05-14,3.61,3.64,3.49,3.49,717844.81,-0.17,-4.64,3.642,3.461,3.4,846288.16,509642.76,315727.97
2020-05-13,3.71,3.85,3.66,3.66,1257341.25,-0.04,-1.08,3.616,3.439,3.391,740866.38,450081.09,285074.88
2020-05-12,3.66,3.74,3.7,3.64,556946.06,0.04,1.09,3.554,3.403,3.374,539698.59,334696.82,226828.25
2020-05-11,3.75,3.76,3.66,3.61,839774.19,-0.04,-1.08,3.47,3.366,3.356,450049.22,287963.61,203359.35
2020-05-08,3.39,3.7,3.7,3.39,859534.5,0.34,10.12,3.38,3.333,3.34,298394.83,213021.79,167960.43
2020-05-07,3.37,3.39,3.36,3.35,190735.92,0.01,0.3,3.28,3.298,3.322,172997.36,136843.04,134610.37
2020-05-06,3.27,3.38,3.35,3.26,251502.28,0.07,2.13,3.262,3.301,3.318,159295.79,129855.45,130362.84
2020-04-30,3.21,3.29,3.28,3.2,108699.21,0.07,2.18,3.252,3.302,3.315,129695.05,116997.82,125484.59
2020-04-29,3.19,3.22,3.21,3.17,81502.24,0.01,0.31,3.262,3.312,3.314,125878.01,126393.59,126402.63
2020-04-28,3.27,3.29,3.2,3.16,232547.16,-0.07,-2.14,3.286,3.325,3.315,127648.76,129881.42,131782.37
2020-04-27,3.3,3.31,3.27,3.26,122228.04,-0.03,-0.91,3.316,3.338,3.319,100688.73,121813.18,127584.51
2020-04-24,3.33,3.33,3.3,3.28,103498.59,-0.03,-0.9,3.34,3.342,3.321,100415.11,120068.67,130132.66
2020-04-23,3.34,3.35,3.33,3.32,89614.0,0.0,0.0,3.352,3.345,3.32,104300.59,118959.68,131208.91
2020-04-22,3.33,3.34,3.33,3.31,90356.0,-0.02,-0.6,3.362,3.346,3.32,126909.18,118755.08,133961.85
2020-04-21,3.37,3.38,3.35,3.32,97747.0,-0.04,-1.18,3.364,3.347,3.317,132114.08,122899.08,138122.54
2020-04-20,3.36,3.39,3.39,3.34,120859.95,0.03,0.89,3.36,3.346,3.312,142937.63,132377.7,143135.39
2020-04-17,3.4,3.4,3.36,3.34,122926.01,-0.02,-0.59,3.344,3.334,3.308,139722.23,130870.22,146958.93
2020-04-16,3.34,3.39,3.38,3.31,202656.94,0.04,1.2,3.338,3.328,3.308,133618.77,133971.35,152148.85
2020-04-15,3.35,3.35,3.34,3.32,116380.5,0.01,0.3,3.33,3.315,3.306,110600.98,126411.66,152089.37
2020-04-14,3.32,3.35,3.33,3.32,151864.77,0.02,0.6,3.33,3.305,3.307,113684.07,133683.32,156935.79
2020-04-13,3.33,3.33,3.31,3.3,104782.91,-0.02,-0.6,3.332,3.299,3.311,121817.77,133355.84,163105.38
2020-04-10,3.34,3.35,3.33,3.31,92408.72,-0.01,-0.3,3.324,3.3,3.32,122018.22,140196.64,172658.96
2020-04-09,3.35,3.36,3.34,3.34,87568.01,0.0,0.0,3.318,3.295,3.331,134323.94,143458.13,177520.32
