date,open,high,low,close
2020-04-30,3.75,3.85,3.72,3.84
2020-04-29,3.69,3.79,3.68,3.71
2020-04-28,3.72,3.75,3.57,3.67
2020-04-27,3.74,3.75,3.68,3.72
2020-04-24,3.83,3.85,3.68,3.71
2020-04-23,3.9,3.92,3.81,3.82
2020-04-22,3.81,3.95,3.79,3.92
2020-04-21,3.81,3.9,3.78,3.84
2020-04-20,3.85,3.87,3.78,3.82
2020-04-17,3.88,3.93,3.81,3.83
2020-04-16,3.7,4.04,3.68,3.93
2020-04-15,3.77,3.85,3.7,3.7
2020-04-14,3.53,3.62,3.5,3.62
2020-04-13,3.54,3.57,3.48,3.53
2020-04-10,3.53,3.57,3.47,3.49
2020-04-09,3.55,3.63,3.52,3.55
2020-04-08,3.45,3.51,3.42,3.47
2020-04-07,3.46,3.49,3.41,3.47
2020-04-03,3.45,3.48,3.4,3.4
2020-04-02,3.34,3.48,3.34,3.47
2020-04-01,3.39,3.44,3.35,3.4
2020-03-31,3.52,3.52,3.37,3.39
2020-03-30,3.62,3.62,3.46,3.47
2020-03-27,3.84,3.9,3.7,3.72
2020-03-26,3.86,3.91,3.85,3.88
2020-03-25,3.88,3.95,3.84,3.9
2020-03-24,3.76,3.83,3.64,3.8
2020-03-23,3.76,3.83,3.68,3.7
2020-03-20,3.79,3.88,3.76,3.84
2020-03-19,3.7,3.76,3.6,3.74
2020-03-18,3.81,3.88,3.72,3.73
2020-03-17,3.79,3.86,3.56,3.73
2020-03-16,4.05,4.1,3.75,3.77
2020-03-13,4.08,4.11,3.87,3.99
2020-03-12,4.25,4.32,4.2,4.27
2020-03-11,4.42,4.53,4.28,4.3
2020-03-10,4.31,4.45,4.13,4.41
2020-03-09,4.3,4.6,4.27,4.37
2020-03-06,4.4,4.52,4.29,4.4
2020-03-05,4.01,4.36,3.98,4.36
2020-03-04,3.93,3.97,3.91,3.96
2020-03-03,4.02,4.08,3.92,3.97
2020-03-02,3.88,4.0,3.87,3.98
2020-02-28,3.83,4.03,3.78,3.82
2020-02-27,3.96,4.06,3.92,3.92
2020-02-26,4.03,4.11,3.92,3.96
2020-02-25,4.01,4.08,3.82,4.03
2020-02-24,4.08,4.2,3.98,4.13
2020-02-21,3.95,4.17,3.9,4.11
2020-02-20,3.92,4.07,3.82,3.97
2020-02-19,3.58,3.95,3.54,3.95
2020-02-18,3.53,3.63,3.49,3.59
2020-02-17,3.39,3.5,3.37,3.49
2020-02-14,3.41,3.45,3.39,3.4
2020-02-13,3.51,3.52,3.42,3.44
2020-02-12,3.48,3.52,3.44,3.52
2020-02-11,3.58,3.58,3.48,3.49
2020-02-10,3.35,3.55,3.33,3.54
2020-02-07,3.35,3.39,3.32,3.38
2020-02-06,3.35,3.41,3.27,3.39
2020-02-05,3.33,3.45,3.29,3.34
2020-02-04,3.08,3.42,3.08,3.32
2020-02-03,3.42,3.42,3.42,3.42
2020-01-23,3.82,3.86,3.66,3.8
2020-01-22,3.94,3.94,3.7,3.87
2020-01-21,3.75,3.97,3.7,3.88
2020-01-20,3.72,3.73,3.62,3.68
2020-01-17,3.83,3.84,3.68,3.73
2020-01-16,3.92,3.96,3.81,3.82
2020-01-15,3.88,4.01,3.83,3.94
2020-01-14,4.05,4.24,3.88,3.9
2020-01-13,3.57,3.86,3.56,3.86
2020-01-10,3.58,3.72,3.51,3.51
2020-01-09,3.48,3.66,3.48,3.59
2020-01-08,3.42,3.49,3.4,3.41
2020-01-07,3.41,3.52,3.39,3.44
2020-01-06,3.19,3.47,3.18,3.39
2020-01-03,3.19,3.2,3.16,3.2
2020-01-02,3.17,3.2,3.16,3.18
2019-12-31,3.12,3.17,3.11,3.14
2019-12-30,3.09,3.11,3.06,3.1
2019-12-27,3.09,3.13,3.07,3.1
2019-12-26,3.08,3.09,3.07,3.09
2019-12-25,3.1,3.11,3.07,3.07
2019-12-24,3.11,3.12,3.09,3.11
2019-12-23,3.16,3.16,3.09,3.09
2019-12-20,3.17,3.18,3.15,3.15
2019-12-19,3.16,3.19,3.15,3.17
2019-12-18,3.19,3.2,3.15,3.16
2019-12-17,3.14,3.19,3.13,3.18
2019-12-16,3.08,3.15,3.08,3.15
2019-12-13,3.05,3.08,3.04,3.07
