code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
688466,N金科,环境保护,北京,353.7,0.23,1.03,6.58,5.48,0.29,0.76,0.73,0.037000000000000005,8.81,5.94,20200508,1.72,1.68,0.0,0.0,31.0,6.62,22899.0
000825,太钢不锈,特种钢,山西,35.27,56.96,56.96,696.78,225.65,427.81,67.72,1.19,0.026000000000000002,5.63,0.66,19981021,166.93,2.93,-8.73,-56.66,8.33,0.96,177283.0
300022,吉峰科技,农用机械,四川,0.0,3.43,3.8,21.47,18.16,1.5,2.09,0.55,-0.031,0.19,25.62,20091030,-5.36,-1.41,-10.44,69.19,18.67,-3.28,28739.0
002536,飞龙股份,汽车配件,河南,29.02,4.71,5.01,38.39,17.94,15.1,9.28,1.85,0.05,4.23,1.37,20110111,6.04,1.21,-9.4,-10.34,21.02,3.81,30000.0
300459,金科文化,互联网,浙江,10.65,22.7,35.44,82.48,33.08,3.66,21.31,0.6,0.061,1.09,2.4,20150515,-12.07,-0.34,-30.35,-13.08,85.09,48.13,57226.0
002400,省广集团,广告包装,广东,69.64,16.75,17.43,91.82,55.38,6.75,14.05,0.81,0.019,3.1,1.73,20100506,20.19,1.16,2.33,-46.81,10.56,1.47,59707.0
603318,派思股份,专用机械,辽宁,0.0,4.02,4.02,16.56,6.96,7.16,5.09,1.27,-0.024,2.23,3.34,20150424,-0.53,-0.13,144.81,62.38,8.44,-6.98,26122.0
600237,铜峰电子,元器件,安徽,0.0,5.64,5.64,16.49,8.73,7.01,8.42,1.49,-0.01,1.93,2.15,20000609,-3.84,-0.68,-7.28,62.85,13.22,-2.81,71558.0
002375,亚厦股份,装修装饰,浙江,60.65,13.31,13.4,205.08,168.09,7.86,19.09,1.42,0.040999999999999995,6.02,1.66,20100323,46.36,3.46,-24.97,-33.92,15.4,3.73,32773.0
300830,金现代,软件服务,山东,3757.47,0.86,4.3,7.56,6.76,0.26,0.06,0.01,0.001,2.42,3.17,20200506,3.19,0.74,0.0,0.0,44.22,0.46,161760.0
300066,三川智慧,电器仪表,江西,68.83,9.96,10.4,21.61,14.28,2.63,0.68,0.07,0.02,1.72,3.19,20100326,5.62,0.54,-34.32,-2.28,33.9,21.64,43903.0
603787,新日股份,摩托车,江苏,0.0,2.04,2.04,18.89,12.8,3.16,2.23,1.09,-0.115,4.61,2.55,20170427,4.51,2.21,-37.96,-242.34,8.76,-6.1,14000.0
300222,科大智能,电气设备,上海,0.0,4.63,7.25,64.9,47.18,5.13,27.19,3.75,-0.024,2.53,3.51,20110525,-16.41,-2.26,-53.71,-160.6,39.37,-5.72,43719.0
603306,华懋科技,汽车配件,福建,40.07,3.07,3.11,26.07,18.72,6.55,10.51,3.38,0.10099999999999999,7.85,2.05,20140926,9.48,3.05,-40.6,-42.48,28.4,24.16,9819.0
603636,南威软件,软件服务,福建,0.0,5.91,5.91,36.95,18.31,2.04,13.39,2.27,-0.027999999999999997,4.28,3.07,20141230,5.82,0.98,-3.82,-172.45,42.09,-15.89,32811.0
603976,正川股份,医疗保健,重庆,36.03,0.38,1.51,12.99,7.93,2.95,5.56,3.67,0.126,6.98,2.59,20170822,3.05,2.02,-13.32,-18.67,26.14,13.13,14459.0
002466,天齐锂业,小金属,四川,0.0,14.77,14.77,432.3,33.46,37.71,67.71,4.58,-0.33899999999999997,4.12,4.56,20100831,-13.74,-0.93,-27.57,-549.52,53.17,-51.66,194133.0
002193,如意集团,纺织,山东,69.83,2.61,2.62,49.62,21.82,12.37,15.96,6.1,0.03,10.17,0.82,20071207,7.07,2.7,-40.03,-22.78,24.48,4.89,18558.0
601038,一拖股份,农用机械,河南,10.49,5.94,9.86,116.76,65.84,27.56,20.99,2.13,0.201,4.32,1.95,20120808,7.28,0.74,-1.8,341.54,18.57,9.56,35767.0
300364,中文在线,出版业,北京,212.44,6.32,7.27,17.68,9.0,0.45,24.73,3.4,0.006,1.95,2.42,20150121,-18.12,-2.49,8.01,105.01,56.09,2.41,38707.0
002397,梦洁股份,纺织,湖南,29.49,4.85,7.64,34.11,18.42,11.11,7.06,0.92,0.04,2.55,1.85,20100429,4.31,0.56,-34.63,-46.63,40.42,8.43,35815.0
300102,乾照光电,半导体,福建,0.0,7.08,7.08,67.5,27.15,33.36,15.32,2.17,-0.068,3.6,1.37,20100812,2.44,0.34,22.67,-1965.75,9.06,-19.93,51998.0
000603,盛达资源,铅锌,北京,0.0,5.79,6.9,40.78,7.74,9.91,4.52,0.66,-0.063,3.2,3.74,19960823,16.41,2.38,-75.09,-144.46,2.96,-30.72,40291.0
603603,博天环境,环境保护,北京,0.0,2.35,4.18,123.84,39.94,1.75,5.89,1.41,-0.1,1.96,3.47,20170217,-2.19,-0.53,-69.58,-288.42,22.68,-19.19,21815.0
002983,芯瑞达,元器件,安徽,74.25,0.35,1.42,7.92,6.47,1.24,1.79,1.27,0.10099999999999999,6.74,4.46,20200428,2.21,1.56,0.0,0.0,24.28,18.89,70869.0
603123,翠微股份,百货,北京,0.0,5.24,5.24,50.47,15.73,17.49,17.37,3.31,-0.083,6.11,1.24,20120503,7.65,1.46,-81.44,-197.07,55.91,-17.58,14339.0
603538,美诺华,化学制药,浙江,32.9,1.46,1.5,27.92,13.01,6.48,5.52,3.69,0.3,9.41,4.08,20170407,7.12,4.76,12.21,3.25,35.15,15.28,12605.0
000153,丰原药业,化学制药,安徽,29.66,3.12,3.12,36.33,17.87,6.98,4.96,1.59,0.069,4.31,1.89,20000920,4.39,1.41,-2.01,29.26,36.43,2.91,36999.0
600359,新农开发,农业综合,新疆,78.75,3.82,3.82,17.54,8.44,5.5,9.23,2.42,0.027999999999999997,1.19,7.32,19990429,-8.84,-2.32,-10.45,871.84,39.12,9.82,55795.0
603392,万泰生物,医疗保健,北京,28.41,0.44,4.34,21.94,8.94,5.38,1.72,0.4,0.162,4.49,4.11,20200429,8.7,2.01,0.0,0.0,71.6,22.66,46392.0
300693,盛弘股份,电气设备,深圳,43.96,0.7,1.37,10.54,9.09,0.15,3.14,2.29,0.107,4.95,3.8,20170822,1.99,1.45,13.71,538.05,51.88,13.36,12793.0
603988,中电电机,电气设备,江苏,7.39,2.35,2.35,11.87,10.22,1.02,1.73,0.73,0.413,3.37,3.62,20141104,3.4,1.45,-8.47,393.56,26.41,79.65,12638.0
603439,贵州三力,中成药,贵州,67.06,0.41,4.07,7.67,5.91,1.09,0.05,0.01,0.064,2.24,7.6,20200428,2.59,0.64,0.0,0.0,66.54,17.56,43374.0
